date1,date2,adr
January,1994,104.04
February,1994,102.74
March,1994,105.23
April,1994,113.63
May,1994,120.77
June,1994,126.46
July,1994,105.46
August,1994,111.59
September,1994,117.78
October,1994,124.23
November,1994,121.86
December,1994,105.36
January,1995,110.26
February,1995,106.72
March,1995,108.97
April,1995,110.28
May,1995,127.4
June,1995,123.27
July,1995,110.88
August,1995,120.03
September,1995,124.01
October,1995,129.79
November,1995,132.32
December,1995,110.16
January,1996,114.92
February,1996,110.17
March,1996,119.52
April,1996,122.4
May,1996,137.86
June,1996,138.41
July,1996,123.67
August,1996,137.9
September,1996,139.45
October,1996,147.99
November,1996,141.55
December,1996,130.03
January,1997,121.86
February,1997,123.18
March,1997,126.09
April,1997,137.85
May,1997,151.89
June,1997,153.25
July,1997,132.12
August,1997,141.69
September,1997,157.83
October,1997,163.65
November,1997,155.43
December,1997,137.11
January,1998,129.19
February,1998,130.83
March,1998,142.99
April,1998,154.63
May,1998,166.7
June,1998,165.21
July,1998,145.27
August,1998,158.03
September,1998,166.63
October,1998,174.03
November,1998,168.41
December,1998,144.03
January,1999,141.44
February,1999,137.0
March,1999,145.99
April,1999,151.76
May,1999,172.07
June,1999,168.06
July,1999,150.99
August,1999,157.88
September,1999,163.3
October,1999,180.63
November,1999,171.36
December,1999,146.55
January,2000,138.04
February,2000,138.04
March,2000,149.35
April,2000,161.16
May,2000,181.41
June,2000,184.26
July,2000,161.13
August,2000,171.94
September,2000,188.1
October,2000,190.71
November,2000,186.41
December,2000,148.93
January,2001,145.9
February,2001,145.56
March,2001,152.4
April,2001,159.98
May,2001,180.32
June,2001,181.56
July,2001,155.59
August,2001,165.06
September,2001,169.41
October,2001,176.94
November,2001,167.13
December,2001,138.77
January,2002,132.45
February,2002,134.26
March,2002,135.76
April,2002,162.07
May,2002,164.05
June,2002,165.81
July,2002,139.8
August,2002,142.52
September,2002,166.59
October,2002,173.08
November,2002,175.82
December,2002,148.95
January,2003,132.89
February,2003,127.44
March,2003,147.32
April,2003,150.72
